Name,Status,Target Audience,Description,Tags,Home page,Source URL,Documentation,Open Source,Open Content,Has Schema?,Schema URL,Team,Number of Users,Cost,Practice,Sub Practice,Practice 2,Sub Practice 2,Type,Type,Subtype,Project Specific,Language,Dependency 1,Dependency 2,Dependency 3,Data Discovery / Searching,Unexplainable dread,Technology,Programming Language,Data Import,Data Export,Allows Bulk Upload,Displays Lists,Network Viz,Network Editing,Network Analysis,Embeddable,Document Viz,Timelines,Maps,Custom Themes
Aleph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpenDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Wrangler,,,,,http://vis.stanford.edu/wrangler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2 Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Refine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Data Converter ,,,"convert Excel data into one of several web-friendly formats, including HTML, JSON and XML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. People ,,,Parse and extract names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orgnet,,,,,http://www.orgnet.com/cases.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAW,,,Visualization tool for non visualization people,,"http://raw.densitydesign.org
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overview,,,Visualize and query bulk of pdf documents,"Folder full of pdfs what do you do with it? (When you don't have time to read them all, made for fast workflow and very large datasets) Extensible import and analysis.",,,,,,,,,,,,,,,,,,,,,,,,,"PDF.js, Plugin in Node.js",,,,,,,,,,,,,
PANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabula,,,Liberate data from tables from PDF,,http://tabula.technology/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Semantic Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3.js,,,,,https://github.com/wbkd/awesome-d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
